i,j,feature_i,feature_j,pearson_r,abs_r
21,211,21,211,0.7955423528442548,0.7955423528442548
25,215,25,215,0.755931960939403,0.755931960939403
37,235,37,235,0.9804142519728631,0.9804142519728631
209,224,209,224,0.7600403020198933,0.7600403020198933
209,225,209,225,0.9689382507753386,0.9689382507753386
209,226,209,226,0.7367638430970718,0.7367638430970718
209,227,209,227,0.7098119165595025,0.7098119165595025
213,214,213,214,0.7346350987144372,0.7346350987144372
217,218,217,218,0.9986234917152621,0.9986234917152621
217,221,217,221,0.6680626566559206,0.6680626566559206
218,221,218,221,0.6720644592924987,0.6720644592924987
220,221,220,221,0.6499042903049906,0.6499042903049906
220,222,220,222,0.9573067770524485,0.9573067770524485
221,222,221,222,0.8346917068958098,0.8346917068958098
224,225,224,225,0.7737689139408337,0.7737689139408337
224,226,224,226,0.9765478179152536,0.9765478179152536
224,227,224,227,0.951582164546728,0.951582164546728
225,226,225,226,0.7112665994594835,0.7112665994594835
225,227,225,227,0.6875558951061035,0.6875558951061035
226,227,226,227,0.9712283728382937,0.9712283728382937
237,238,237,238,0.6256830942280404,0.6256830942280404
238,239,238,239,0.7397448941326645,0.7397448941326645
238,240,238,240,0.7431272415322479,0.7431272415322479
238,241,238,241,0.6881152916248702,0.6881152916248702
238,242,238,242,0.6896697171162988,0.6896697171162988
238,243,238,243,0.6869795813267097,0.6869795813267097
239,240,239,240,0.916230649583782,0.916230649583782
239,241,239,241,0.8271647562455522,0.8271647562455522
239,242,239,242,0.8518625763476548,0.8518625763476548
239,243,239,243,0.8415485996262805,0.8415485996262805
239,250,239,250,0.616598831175883,0.616598831175883
239,251,239,251,0.6019175154127709,0.6019175154127709
240,241,240,241,0.9082316836319204,0.9082316836319204
240,242,240,242,0.9103928969360527,0.9103928969360527
240,243,240,243,0.910340903910008,0.910340903910008
240,250,240,250,0.6165746706109455,0.6165746706109455
240,251,240,251,0.60160366293634,0.60160366293634
241,242,241,242,0.886445676813598,0.886445676813598
241,243,241,243,0.888761307061105,0.888761307061105
241,250,241,250,0.6079098660158478,0.6079098660158478
242,243,242,243,0.994991637032679,0.994991637032679
242,250,242,250,0.6016905802430494,0.6016905802430494
250,251,250,251,0.9013520543870884,0.9013520543870884
